"nut","nuTilda","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0.4898,-0.00029378,-9.1431e-22,0.0011865,0,0,0,1.0217,0.00012337,-0.5,-0.0019693
0,0,0.45409,-0.00064523,-5.1762e-22,0.002283,0,0,0,1.0237,0.00049344,-0.5,-0.0039198
0,0,0.39998,-0.0011884,9.8013e-24,0.0031869,0,0,0,1.0257,0.0011101,-0.5,-0.0058512
0,0,0.33535,-0.001839,1.5435e-21,0.0038268,0,0,0,1.0278,0.0019733,-0.5,-0.0077633
0,0,0.26729,-0.0025055,9.8588e-22,0.0041857,0,0,0,1.03,0.0030827,-0.5,-0.0096556
0,0,0.20123,-0.0031084,-9.44e-22,0.0042854,0,0,0,1.0324,0.004438,-0.5,-0.011528
0,0,0.14054,-0.0035909,-1.3404e-22,0.0041721,0,0,0,1.0348,0.006039,-0.5,-0.013379
0,0,0.086657,-0.0039115,2.5399e-22,0.0038897,0,0,0,1.0374,0.0078853,-0.5,-0.01521
0,0,0.039765,-0.0040609,-1.4824e-24,0.0034919,0,0,0,1.0402,0.0099763,-0.5,-0.017018
0,0,-0.00050194,-0.004076,-2.8699e-42,0.0030547,0,0,0,1.0431,0.012312,-0.5,-0.018804
0,0,-0.034676,-0.0040192,-2.2454e-22,0.0026478,0,0,0,1.0462,0.014891,-0.5,-0.020566
0,0,-0.063335,-0.0039523,1.1831e-22,0.0023135,0,0,0,1.0495,0.017713,-0.5,-0.022304
0,0,-0.087109,-0.0039178,-5.2525e-22,0.0020643,0,0,0,1.0531,0.020777,-0.5,-0.024017
0,0,-0.10675,-0.0039281,-1.364e-21,0.0018881,0,0,0,1.0568,0.024083,-0.5,-0.025704
0,0,-0.12308,-0.0039679,-4.9366e-22,0.0017579,0,0,0,1.0607,0.02763,-0.5,-0.027365
0,0,-0.13683,-0.0040165,-5.6464e-22,0.0016502,0,0,0,1.0648,0.031417,-0.5,-0.028997
0,0,-0.14849,-0.0040605,-5.678e-22,0.0015514,0,0,0,1.0691,0.035443,-0.5,-0.0306
0,0,-0.15839,-0.0040948,-5.9366e-22,0.0014566,0,0,0,1.0737,0.039706,-0.5,-0.032173
