"nut","k","gammaInt","p","omega","ReThetat","wallShearStress:0","wallShearStress:1","wallShearStress:2","U:0","U:1","U:2","arc_length","Points:0","Points:1","Points:2"
0,0,0.057851,0.48686,6.0143e+07,562.47,-0.00029588,-0.0020489,-5.7259e-22,0,0,0,1.0217,0.00015201,0.0021751,0.5
0,0,0.052417,0.48085,6.2442e+07,562.35,-0.00039588,-0.0023439,-5.234e-22,0,0,0,1.0221,0.00020872,0.0025464,0.5
0,0,0.047898,0.47351,6.4696e+07,562.22,-0.00051695,-0.0026466,-1.159e-21,0,0,0,1.0225,0.00027968,0.0029448,0.5
0,0,0.044092,0.46469,6.6898e+07,562.07,-0.00066099,-0.0029531,-9.092e-22,0,0,0,1.0229,0.0003674,0.0033716,0.5
0,0,0.040856,0.45419,6.9043e+07,561.92,-0.00082938,-0.0032585,-7.4447e-22,0,0,0,1.0234,0.00047478,0.0038284,0.5
0,0,0.038083,0.44188,7.1128e+07,561.77,-0.0010228,-0.0035567,-7.5485e-23,0,0,0,1.0239,0.00060505,0.0043166,0.5
0,0,0.035704,0.4276,7.3148e+07,561.64,-0.001241,-0.003841,1.2668e-21,0,0,0,1.0245,0.0007619,0.0048376,0.5
0,0,0.03366,0.41125,7.51e+07,561.54,-0.0014824,-0.0041036,-4.6384e-22,0,0,0,1.025,0.00094938,0.0053925,0.5
0,0,0.031898,0.39278,7.6982e+07,561.46,-0.0017438,-0.0043364,-1.0617e-21,0,0,0,1.0257,0.001172,0.0059826,0.5
0,0,0.030374,0.37217,7.8792e+07,561.44,-0.0020207,-0.0045317,-8.182e-22,0,0,0,1.0264,0.0014346,0.0066085,0.5
0,0,0.029052,0.34951,8.0529e+07,561.46,-0.0023069,-0.0046821,-2.2356e-21,0,0,0,1.0271,0.0017427,0.0072711,0.5
0,0,0.027904,0.32493,8.2192e+07,561.54,-0.0025948,-0.0047817,-1.4174e-21,0,0,0,1.0279,0.0021018,0.0079708,0.5
0,0,0.026904,0.29866,8.3781e+07,561.68,-0.0028761,-0.0048268,3.2634e-28,0,0,0,1.0287,0.002518,0.0087076,0.5
0,0,0.026032,0.271,8.5297e+07,561.86,-0.0031421,-0.0048159,-4.1157e-27,0,0,0,1.0296,0.0029977,0.0094816,0.5
0,0,0.025271,0.24231,8.674e+07,562.07,-0.0033844,-0.00475,2.8282e-21,0,0,0,1.0306,0.0035476,0.010292,0.5
0,0,0.024605,0.21296,8.8111e+07,562.28,-0.0035958,-0.0046328,3.97e-21,0,0,0,1.0317,0.0041745,0.011139,0.5
0,0,0.024022,0.18339,8.9412e+07,562.47,-0.0037708,-0.0044702,1.1419e-21,0,0,0,1.0328,0.0048857,0.012022,0.5
0,0,0.023512,0.15398,9.0645e+07,562.56,-0.0039057,-0.0042698,1.1905e-27,0,0,0,1.034,0.0056885,0.012939,0.5
0,0,0.023065,0.12511,9.1811e+07,562.51,-0.003999,-0.0040401,8.6935e-29,0,0,0,1.0353,0.0065904,0.01389,0.5
0,0,0.022673,0.097125,9.2913e+07,562.22,-0.0040514,-0.0037899,-5.2486e-28,0,0,0,1.0367,0.0075992,0.014873,0.5
0,0,0.022329,0.070284,9.3952e+07,561.63,-0.004065,-0.0035274,4.5517e-22,0,0,0,1.0383,0.0087229,0.015888,0.5
0,0,0.022028,0.044802,9.4932e+07,560.66,-0.0040436,-0.0032604,6.9517e-22,0,0,0,1.0399,0.0099699,0.016934,0.5
0,0,0.021764,0.020832,9.5855e+07,559.24,-0.0039914,-0.0029952,3.0371e-22,0,0,0,1.0416,0.011349,0.018008,0.5
0,0,0.021533,-0.0015334,9.6723e+07,557.31,-0.0039134,-0.0027371,6.3703e-23,0,0,0,1.0435,0.012868,0.01911,0.5
0,0,0.02133,-0.022252,9.7538e+07,554.85,-0.0038146,-0.0024898,-3.8305e-22,0,0,0,1.0455,0.014538,0.02024,0.5
0,0,0.021152,-0.041322,9.8304e+07,551.85,-0.0036996,-0.0022562,-3.8305e-22,0,0,0,1.0477,0.016367,0.021395,0.5
0,0,0.020997,-0.058776,9.9023e+07,548.32,-0.0035728,-0.0020379,-2.1696e-28,0,0,0,1.05,0.018367,0.022576,0.5
0,0,0.020861,-0.074669,9.9697e+07,544.28,-0.003438,-0.0018357,-4.6098e-38,0,0,0,1.0525,0.020547,0.02378,0.5
0,0,0.020743,-0.089077,1.0033e+08,539.79,-0.0032983,-0.0016498,4.7644e-44,0,0,0,1.0552,0.02292,0.025007,0.5
0,0,0.020639,-0.10208,1.0092e+08,534.87,-0.0031565,-0.0014801,-2.2421e-44,0,0,0,1.058,0.025496,0.026255,0.5
0,0,0.02055,-0.11378,1.0147e+08,529.59,-0.0030148,-0.0013257,4.5895e-41,0,0,0,1.0611,0.02829,0.027524,0.5
0,0,0.020472,-0.12425,1.0199e+08,523.98,-0.0028747,-0.0011858,3.7584e-21,0,0,0,1.0644,0.031313,0.028812,0.5
0,0,0.020406,-0.13359,1.0247e+08,518.09,-0.0027377,-0.0010595,3.7584e-21,0,0,0,1.0679,0.034579,0.030117,0.5
0,0,0.02035,-0.14189,1.0292e+08,511.97,-0.0026044,-0.0009457,2.9915e-29,0,0,0,1.0717,0.038103,0.031439,0.5
0,0,0.020302,-0.14923,1.0334e+08,505.66,-0.0024757,-0.00084328,-4.2913e-28,0,0,0,1.0757,0.041901,0.032774,0.5
0,0,0.020264,-0.15569,1.0374e+08,499.21,-0.002352,-0.00075122,-2.1343e-28,0,0,0,1.08,0.045986,0.034122,0.5
0,0,0.020234,-0.16132,1.041e+08,492.65,-0.0022333,-0.00066854,-2.1946e-28,0,0,0,1.0846,0.050377,0.035479,0.5
0,0,0.020212,-0.16621,1.0444e+08,486.02,-0.0021199,-0.00059431,3.9557e-27,0,0,0,1.0895,0.055088,0.036843,0.5
0,0,0.020198,-0.17041,1.0476e+08,479.33,-0.0020117,-0.00052766,1.5744e-21,0,0,0,1.0947,0.060139,0.038212,0.5
0,0,0.020193,-0.17395,1.0506e+08,472.61,-0.0019086,-0.00046783,1.5744e-21,0,0,0,1.1003,0.065545,0.039583,0.5
0,0,0.020197,-0.1769,1.0533e+08,465.88,-0.0018103,-0.00041409,2.8709e-21,0,0,0,1.1062,0.071325,0.040951,0.5
0,0,0.020211,-0.17929,1.0559e+08,459.15,-0.0017168,-0.00036582,2.8709e-21,0,0,0,1.1126,0.077498,0.042313,0.5
0,0,0.020234,-0.18115,1.0583e+08,452.42,-0.0016277,-0.00032244,-2.5934e-21,0,0,0,1.1193,0.084081,0.043665,0.5
0,0,0.020268,-0.18251,1.0605e+08,445.69,-0.0015428,-0.00028344,-1.3509e-22,0,0,0,1.1264,0.091094,0.045001,0.5
0,0,0.020312,-0.18341,1.0626e+08,438.97,-0.0014619,-0.00024839,1.3137e-22,0,0,0,1.134,0.098553,0.046318,0.5
